investment_id,fund_name,superfund_type,fund_assets,investment_id,investment_name,asset_class,lifecycle_in,public_offer,return_1yr,return_3yr,return_5yr,investment_size,targetreturn,risk,fee,invfee,admin_fee
2190,Australian Defence Force Superannuation Scheme,Public Sector,0.125312,2189,ADF MySuper,Balanced,0,0,7.605989,8.779378,NULL,0.26274,3.5,3.5,535,0.0121,0.0012
122,AMP Superannuation Savings Trust,Retail,56.744778,2955,AFLPA & AFL MySuper 1950s,Conservative Balanced,1,1,5.656472,6.093766,5.55386,0.0013,3.7,2.26,451.96,0.0063,0.0041
122,AMP Superannuation Savings Trust,Retail,56.744778,2956,AFLPA & AFL MySuper 1960s,Balanced,1,1,6.01325,7.440475,6.736578,0.01098,4.1,2.97,486.96,0.007,0.0041
122,AMP Superannuation Savings Trust,Retail,56.744778,2957,AFLPA & AFL MySuper 1970s,High Growth,1,1,6.304095,9.384831,8.366587,0.02065,4.8,4.04,516.96,0.0076,0.0041
122,AMP Superannuation Savings Trust,Retail,56.744778,2958,AFLPA & AFL MySuper 1980s,High Growth,1,1,6.618241,9.780657,8.631041,0.0486,5,4.27,506.96,0.0074,0.0041
122,AMP Superannuation Savings Trust,Retail,56.744778,2959,AFLPA & AFL MySuper 1990s,High Growth,1,1,6.352521,9.600368,8.521697,0.06277,5,4.27,501.96,0.0073,0.0041
122,AMP Superannuation Savings Trust,Retail,56.744778,2960,AFLPA & AFL MySuper Capital Stable,Conservative Balanced,1,1,5.603511,5.674023,5.208367,0.00035,3.5,2.29,431.96,0.0059,0.0041
120,AMG Super,Retail,0.820644,345,AMG Super - MySuper,Balanced,0,1,7.752163,7.815835,7.315458,0.18939,2.42,4,520,0.0032,0.0069
128,AMIST,Industry,2.119251,346,AMIST - MySuper,Balanced,0,1,6.556986,8.926072,7.895394,1.95031,2,3.5,469,0.0069,0.0023
122,AMP Superannuation Savings Trust,Retail,56.744778,3017,AMP Flexible Super - AMP MySuper Balanced,Balanced,0,1,8.807605,9.144459,7.882052,1.10821,4.2,3.96,432.52,0.0019,0.0068
203,AMP Super Directions,Retail,3.440805,353,AMP SDF MySuper - 1950s,Conservative Balanced,1,1,5.531851,6.332126,5.497537,0.15917,3.5,2.26,535.84,0.0062,0.006
203,AMP Super Directions,Retail,3.440805,354,AMP SDF MySuper - 1960s,Balanced,1,1,6.053311,7.685808,6.623862,0.30354,4,2.97,580.84,0.0071,0.006
